ID	Gender	Age	Event_help_in1year	Ask_or_accept	Closeness_with_helper	Willingness_to_accept	Self_Benefit	Benefactor_Cost	Predicted_help_rate	Gratitude	Indebtedness	Guilt	Obligation	Pressure	Need_to_repay	Second_order_belief_Need_Repay	Need_to_Repay_relative_to_benefit	Need_to_Repay_relative_to_cost	E2_Need_to_Repay_relative_to_benefit	E2_Need_to_Repay_relative_to_cost	Perceived_care	Benefactor_Selfishness	Desire_to_repay	Desire_to_Repay_immedately	Way_to_repay_money	Way_to_repay_future_help	Way_to_repay_thanks	Way_to_repay_cooperation	Way_to_repay_be_friend	Way_to_repay_gift	Way_to_repay_other	Already_monetary_repay	Already_future_help	Already_thanks	Already_cooperation	Already_be_friend	Already_gift	Already_other	Willingness_for_future_interaction	Whether_reject
1277	2	18	1	1	42	54	59	42	60	60	41	45	19	29	46	13	79	61	38	36	56	50	59	72	0	1	0	0	0	0	0	0	0	1	0	0	0	0	56	0
1279	1	19	1	1	90	90	100	100	70	100	60	24	0	5	52	55	51	51	53	22	84	25	48	23	0	1	0	0	0	0	0	0	1	0	0	1	0	0	88	0
1280	2	18	1	1	70	100	100	55	100	100	7	8	11	10	44	11	63	56	51	59	11	10	52	10	0	0	0	0	1	0	0	0	0	0	0	1	0	0	82	0
1281	1	17	1	2	0	50	100	80	100	90	70	60	0	0	79	51	81	80	39	21	62	81	60	61	1	0	1	0	0	0	0	0	0	1	1	0	0	0	80	0
1282	1	18	1	1	40	100	100	80	50	100	20	20	0	20	100	0	100	50	20	0	50	0	100	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
1283	1	18	1	1	71	100	100	61	83	7	31	21	60	20	85	25	43	10	21	26	74	44	46	34	0	0	1	1	0	0	0	0	0	1	0	0	0	0	82	0
1284	2	20	1	2	0	100	60	40	34	100	0	0	3	5	2	5	7	60	1	0	5	3	5	2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	71	0
1287	1	18	1	1	80	100	60	39	72	77	11	6	0	0	60	21	50	50	50	50	50	50	50	50	0	1	0	1	1	0	0	0	1	0	0	1	0	0	84	0
1288	1	17	1	1	100	100	100	100	100	100	30	30	0	0	100	0	100	100	100	100	100	0	100	100	0	1	0	0	1	1	0	0	1	0	0	1	1	0	100	0
1289	2	18	1	2	0	60	60	60	80	100	20	20	100	10	20	0	50	50	10	10	90	10	50	50	0	0	1	0	0	0	0	0	0	1	0	0	0	0	20	0
1290	1	18	1	1	70	32	81	92	71	42	25	20	20	60	90	50	80	81	31	33	88	32	71	21	1	1	0	0	0	0	0	0	0	1	0	0	0	0	29	0
1291	2	18	1	1	21	100	61	68	41	94	90	6	0	0	73	28	52	70	12	51	0	0	68	56	0	1	0	0	1	0	0	0	0	1	0	1	0	0	78	0
1292	1	18	1	2	23	24	100	99	98	71	5	10	5	8	14	16	11	23	26	26	27	25	32	31	0	0	0	1	1	1	0	1	1	0	0	0	0	0	17	0
1293	2	18	1	1	100	100	96	69	100	90	45	38	36	70	92	41	85	85	52	80	74	30	83	85	1	1	1	0	0	0	0	0	0	1	0	0	0	0	96	0
1294	1	19	1	1	88	100	85	92	88	100	50	19	0	7	54	51	62	58	55	59	69	12	67	14	0	1	1	0	0	0	0	0	1	1	0	0	0	0	100	0
1296	2	19	1	1	80	70	80	60	70	85	60	40	40	40	80	60	79	80	60	60	80	40	60	60	0	1	1	0	1	0	0	0	1	1	0	1	0	0	80	0
1297	2	18	1	1	81	84	100	100	100	100	20	51	0	0	100	100	40	100	40	78	100	35	100	56	0	1	0	0	1	1	0	0	1	0	0	1	1	0	100	0
1298	2	18	1	1	100	100	100	100	100	100	18	20	0	2	0	0	100	100	50	100	100	0	100	100	1	0	0	0	0	0	0	0	0	0	0	0	0	1	100	0
1299	1	18	1	1	64	100	98	42	86	85	0	0	0	0	0	0	100	100	0	62	0	0	100	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	100	0
1301	1	18	1	2	18	50	62	23	30	77	10	5	22	28	61	32	63	54	37	32	25	26	62	34	0	0	1	0	0	0	0	0	0	1	0	0	0	0	61	0
1302	1	18	1	1	61	100	100	100	75	100	74	55	0	61	65	48	90	79	58	71	84	0	85	55	0	1	1	0	1	0	0	0	0	1	0	1	0	0	63	0
1305	1	18	1	2	60	40	50	50	40	60	60	40	5	20	70	20	60	53	43	45	63	52	62	38	1	0	1	0	0	1	0	0	1	0	0	0	0	0	55	0
1307	2	19	1	1	92	93	70	70	100	80	50	50	11	1	50	16	43	50	100	34	80	3	50	20	0	1	0	0	0	0	1	0	0	1	0	0	0	1	100	0
1311	1	18	1	2	100	81	80	58	100	100	0	0	2	0	59	1	86	66	60	62	73	17	74	86	1	1	1	0	1	0	0	0	1	1	0	1	0	0	70	0
1312	1	18	1	1	0	81	81	21	90	65	5	0	0	0	11	0	80	80	50	50	61	7	21	38	0	1	1	0	1	0	0	0	0	1	0	0	0	0	62	0
1313	1	17	1	2	0	80	100	40	0	100	0	0	20	0	60	91	60	50	35	20	50	40	80	60	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
1314	1	17	1	1	65	82	71	17	60	76	16	10	19	0	93	5	80	80	7	8	26	8	79	52	0	1	0	0	1	0	0	0	0	0	0	1	0	0	88	0
1316	2	18	1	1	44	100	100	12	60	100	20	98	0	15	62	14	78	78	78	80	59	0	79	47	0	1	0	0	0	0	0	0	0	1	0	0	0	0	100	0
1321	1	18	1	2	58	84	89	68	86	92	79	78	0	18	61	46	62	58	44	44	86	56	90	78	0	1	0	0	0	0	1	0	1	0	0	0	0	1	86	0
1324	1	18	1	1	100	60	100	50	100	80	40	20	0	0	0	0	50	100	39	40	100	21	51	81	0	1	0	0	1	0	0	0	1	1	0	1	0	0	100	0
1327	1	19	1	2	0	0	11	4	0	7	8	0	0	0	0	0	0	57	0	0	13	13	38	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
1328	2	18	1	2	100	100	100	100	100	100	0	0	0	0	100	0	100	100	51	50	100	100	100	53	0	1	1	1	0	0	0	0	1	1	0	1	0	0	100	0
1331	1	19	1	1	58	100	68	62	15	95	92	61	19	25	49	98	52	57	49	62	100	100	55	64	0	0	0	0	1	0	0	0	0	1	0	0	0	0	100	0
1332	1	18	1	1	24	100	63	21	86	71	11	0	0	0	23	0	62	64	19	0	44	0	26	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	83	0
1335	1	18	1	2	52	53	75	42	71	72	61	17	9	22	64	26	38	52	47	52	50	59	60	44	0	0	1	0	0	0	0	0	1	0	0	0	0	0	59	0
1336	2	17	1	1	82	100	58	100	100	83	63	16	20	0	14	13	50	50	50	50	0	0	58	41	0	1	1	1	1	0	0	0	1	1	1	1	0	0	70	0
1337	2	17	1	2	61	100	63	64	38	79	0	5	2	19	40	21	22	17	11	10	61	37	70	9	0	1	0	0	1	1	0	0	1	0	0	1	0	0	83	0
1338	2	19	1	1	97	100	95	90	91	84	0	0	0	26	62	85	83	80	93	86	95	32	82	81	0	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0
1340	1	18	1	2	100	83	81	65	0	63	24	0	21	26	59	55	60	54	62	67	0	27	27	33	0	1	0	0	0	1	0	0	1	0	1	0	1	0	23	0
1341	1	18	1	2	61	51	50	29	83	9	30	0	0	24	45	25	34	42	35	70	43	55	51	42	0	0	1	0	0	0	0	0	0	1	0	0	0	0	44	0
1342	1	18	1	1	66	100	46	10	51	79	0	0	0	0	0	0	51	50	21	23	77	60	31	27	0	1	0	0	0	0	0	0	0	0	1	1	0	0	42	0
1345	1	18	1	2	62	69	54	58	46	41	45	64	58	53	49	53	48	42	46	48	61	61	63	59	0	1	0	1	1	0	0	0	0	0	1	1	0	0	35	0
1346	1	18	1	1	61	99	80	20	100	81	19	17	17	50	58	47	50	51	53	50	52	55	67	58	0	0	0	0	1	0	0	0	0	0	0	1	0	0	80	0
1347	1	18	1	1	96	73	96	91	100	94	73	71	0	0	0	0	100	100	100	100	0	0	100	100	1	1	0	0	1	1	0	1	0	1	0	0	0	0	100	0
1348	1	17	1	2	100	100	100	100	100	100	0	0	0	0	100	100	100	100	100	42	100	58	100	100	0	1	0	0	0	0	0	1	1	0	0	0	0	0	100	0
1349	1	19	1	1	70	80	70	66	80	86	59	58	10	13	60	66	32	53	72	66	26	53	60	71	0	1	0	1	0	1	0	0	1	0	1	1	1	0	44	0
1351	1	20	1	1	100	100	100	22	100	100	10	14	0	13	100	0	100	100	34	100	100	0	100	100	0	1	0	0	0	0	0	0	0	1	0	0	0	0	100	0
1356	2	17	1	1	78	82	62	31	100	82	51	36	0	0	76	79	69	80	67	74	100	83	76	27	0	1	1	1	0	0	0	0	1	1	1	0	0	0	82	0
1358	1	19	1	2	20	26	27	30	47	44	53	46	38	56	38	69	41	38	41	52	34	53	47	50	0	0	0	0	0	1	0	0	0	0	0	0	1	0	49	0
1360	1	19	1	2	95	90	100	80	90	90	50	30	0	50	90	85	90	90	85	85	90	20	95	50	1	1	0	0	0	0	0	0	0	1	0	0	0	0	85	0
1361	1	18	1	1	80	100	100	26	90	80	71	65	20	20	50	20	85	75	25	25	85	20	85	35	0	1	1	0	1	0	0	0	0	1	0	1	0	0	91	0
1366	1	19	1	2	80	100	100	100	100	100	91	19	0	0	100	42	84	77	80	83	79	0	100	100	0	1	1	0	0	0	0	0	1	1	0	0	0	0	83	0
1368	1	18	1	2	58	62	58	64	58	86	16	6	39	58	54	61	58	69	72	72	70	63	68	57	0	1	1	1	1	0	0	0	1	0	0	0	0	0	66	0
1369	1	19	1	1	100	100	100	100	100	100	21	0	0	0	46	22	68	18	51	16	83	26	66	38	1	1	1	1	0	1	0	1	0	1	1	0	1	0	100	0
1370	2	20	1	1	50	100	100	100	50	100	88	60	10	20	100	50	79	79	64	55	93	26	84	47	0	1	0	0	1	0	0	0	1	0	0	0	0	0	68	0
1371	2	18	1	1	77	90	92	21	53	76	21	19	20	20	40	40	50	54	55	45	17	37	30	27	0	0	1	0	0	0	0	0	1	1	0	0	0	0	56	0
1372	1	18	1	1	0	100	100	83	50	100	80	50	30	60	70	50	50	50	40	40	50	70	60	90	0	1	1	0	1	0	0	0	0	1	0	1	0	0	55	0
1375	1	20	1	2	29	80	60	71	60	81	36	18	9	42	42	51	57	51	55	55	47	39	46	36	0	1	1	0	0	0	0	0	0	1	0	0	0	0	37	0
1376	2	20	1	2	84	100	60	41	95	85	70	8	0	0	93	84	66	80	19	53	97	34	73	63	0	1	1	0	0	0	0	0	1	1	0	0	0	0	55	0
1377	2	19	1	1	80	100	100	100	92	100	61	78	59	83	82	71	80	51	74	51	66	87	84	63	0	1	1	0	0	0	0	0	1	0	0	0	1	0	61	0
1378	1	18	1	1	92	66	57	38	28	52	22	29	37	46	44	51	65	45	54	62	48	45	52	53	0	1	0	0	0	0	0	0	1	0	0	0	0	0	65	0
1385	1	19	1	2	72	69	57	42	16	67	64	54	57	70	67	65	61	64	74	67	68	69	68	63	0	1	1	0	0	0	0	0	0	0	0	0	1	0	68	0
1386	1	20	1	1	45	89	41	47	78	100	5	3	14	11	81	43	82	85	26	24	65	45	99	100	0	1	0	1	1	0	0	0	1	1	0	1	0	0	100	0
1387	1	17	1	2	0	100	100	19	20	100	50	100	5	0	5	7	100	20	0	0	100	0	100	85	0	1	0	0	1	0	1	0	0	0	0	0	0	1	100	0
1389	1	17	1	1	30	80	50	40	30	40	20	41	43	20	72	50	50	50	51	52	39	63	58	60	0	1	1	0	1	0	0	0	1	1	0	1	0	0	55	0
1390	1	18	1	2	100	81	100	20	0	79	0	0	0	80	49	0	100	50	49	50	0	0	78	56	0	1	0	0	1	0	0	0	0	0	0	1	1	0	100	0
1393	1	17	1	2	16	67	90	41	24	73	22	17	25	16	31	20	42	32	24	14	62	62	32	78	0	1	0	0	1	1	0	0	0	0	0	1	0	0	44	0
1394	1	17	1	2	83	80	86	82	100	83	32	46	74	32	64	37	74	75	49	54	0	8	100	81	0	1	0	0	0	0	1	0	1	0	0	0	0	1	100	0
1395	1	19	1	2	0	64	42	8	0	46	1	0	0	0	0	0	0	0	0	0	39	0	5	6	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
1396	2	19	1	1	81	83	100	62	100	100	13	56	0	14	100	16	89	16	36	43	100	0	99	9	0	1	0	1	0	0	0	0	1	0	1	0	0	0	80	0
1397	1	19	1	2	67	0	26	28	100	22	30	26	0	0	0	0	42	47	2	13	82	0	5	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0
1398	1	18	1	2	40	100	61	20	80	78	50	50	12	10	21	0	46	64	51	0	41	52	70	60	0	1	1	1	1	0	0	0	1	1	1	0	0	0	68	0
1399	2	18	1	2	100	100	100	43	92	100	0	0	0	0	100	29	83	92	89	15	100	0	100	100	0	1	1	1	0	0	0	0	0	1	0	0	0	0	100	0
1402	2	18	1	1	100	100	100	100	100	100	21	38	33	29	100	48	52	51	49	56	100	43	100	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	100	0
1403	2	18	1	1	66	81	64	64	91	100	69	49	0	0	71	67	84	79	76	81	79	53	85	70	0	1	0	0	1	1	0	0	1	1	1	1	1	0	90	0
1404	2	17	1	1	100	100	100	86	100	91	0	0	0	0	100	0	95	94	32	13	100	0	100	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	100	0
1405	2	18	1	1	93	99	100	100	100	66	0	0	0	0	0	0	59	59	59	59	85	0	83	52	0	1	0	0	0	0	0	0	0	1	0	0	0	0	100	0
1407	1	19	1	1	82	100	90	73	100	100	0	1	8	6	8	7	86	96	67	58	100	67	97	100	0	1	1	0	0	0	0	0	1	1	0	0	0	0	100	0
1410	1	19	1	1	88	100	100	20	100	50	0	0	0	0	47	0	82	85	0	0	100	0	47	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	87	0
1411	1	18	1	1	23	82	79	75	44	36	77	7	0	16	50	50	23	59	28	39	49	42	86	45	0	1	1	0	1	0	0	0	0	0	1	0	0	0	44	0
1413	2	19	1	1	82	88	86	68	100	100	32	1	0	0	100	78	84	74	73	79	83	90	100	19	0	1	0	1	1	0	0	0	1	0	0	0	0	0	100	0
1414	1	18	1	2	80	50	91	80	100	100	85	95	0	61	84	0	60	80	70	30	0	0	60	30	0	1	0	0	0	1	0	0	1	0	0	0	0	0	91	0
1417	1	18	1	1	100	100	100	71	100	94	100	96	0	100	76	80	54	56	98	70	64	46	60	56	0	1	0	0	0	0	0	0	0	0	0	0	1	0	61	0
1419	1	20	1	1	48	82	52	100	61	73	39	100	8	37	61	56	51	51	25	30	68	20	59	58	0	0	0	0	0	0	1	0	0	0	0	0	0	1	100	0
1420	2	18	1	1	54	42	27	69	57	44	52	47	46	44	48	53	47	52	38	44	50	52	57	48	1	1	1	1	1	0	0	1	1	1	1	1	0	0	55	0
1422	1	18	1	1	91	100	62	1	100	10	0	0	0	0	0	0	60	60	0	0	1	1	50	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	48	0
1423	2	17	1	1	21	59	82	40	61	70	0	20	0	20	100	0	40	60	0	40	60	20	40	20	0	1	0	0	1	0	0	0	0	0	0	1	0	0	60	0
1424	2	19	1	1	75	51	34	27	97	72	11	3	54	22	44	32	82	83	27	33	53	87	51	84	0	1	1	0	1	1	0	0	0	1	0	1	1	0	66	0
1425	2	17	1	2	61	100	77	77	81	95	0	0	0	0	0	0	0	0	88	45	85	86	90	81	0	0	0	0	0	1	0	0	0	0	0	0	1	0	61	0
1426	1	17	1	1	81	100	100	100	100	64	18	0	0	0	22	41	100	26	44	56	49	56	49	59	0	0	0	0	1	0	0	0	1	0	0	1	0	0	77	0
1427	1	19	1	2	20	80	50	20	50	85	0	0	0	0	21	0	50	50	50	50	50	50	50	50	0	1	1	0	1	0	0	0	0	1	0	0	0	0	30	0
1428	1	17	1	2	78	97	79	38	84	42	0	0	0	0	3	1	88	2	48	0	76	8	16	11	0	1	1	0	1	0	0	0	1	0	0	0	0	0	87	0
1429	1	18	1	2	80	100	100	48	100	78	60	57	0	0	55	59	100	69	71	54	0	38	85	75	0	0	0	0	1	0	0	0	1	0	0	0	0	0	64	0
1430	1	18	1	1	81	54	100	21	100	68	17	20	0	18	62	0	37	44	11	8	100	22	82	61	0	1	0	0	1	0	0	0	0	1	0	1	0	0	42	0
1433	1	18	1	1	71	100	80	49	100	89	61	37	19	46	88	36	66	65	56	35	64	71	87	73	0	1	1	1	0	0	0	0	1	1	0	0	0	0	65	0
1434	2	17	1	2	82	93	89	55	51	86	77	25	0	26	80	69	77	81	46	13	53	27	77	53	0	1	0	0	0	0	0	0	1	1	0	0	0	0	87	0
1435	2	19	1	1	61	66	40	21	80	50	0	0	0	0	11	0	11	14	6	20	0	0	15	10	0	1	1	0	0	0	0	0	0	1	0	1	0	0	45	0
1437	2	23	1	1	60	100	100	80	100	100	22	2	3	11	35	6	96	53	60	100	100	100	82	75	0	1	0	0	0	0	0	0	0	0	0	1	0	0	100	0
1438	2	19	1	2	44	29	100	100	75	100	100	82	0	0	60	50	65	0	66	74	52	57	100	63	0	1	0	0	0	0	0	0	1	0	0	1	0	1	71	0
1439	2	18	1	2	100	100	100	61	80	100	20	19	9	8	100	48	100	79	47	50	9	7	62	46	0	1	1	1	1	0	0	0	1	1	0	0	0	0	100	0
1440	2	18	1	1	52	61	64	59	53	56	0	0	0	0	20	0	50	53	51	0	0	7	2	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	100	0
1441	1	17	1	1	67	82	13	10	83	59	59	12	0	0	13	10	14	11	12	14	0	0	100	71	0	1	0	0	0	0	0	0	0	1	0	1	0	0	67	0
1445	1	18	1	1	80	100	100	88	80	100	50	0	0	0	82	83	100	100	100	86	0	0	91	90	0	1	1	0	1	0	0	0	1	1	0	1	1	0	93	0
1448	1	18	1	1	67	100	96	41	73	98	41	47	19	15	20	41	42	39	43	42	49	53	48	53	0	0	0	0	1	0	0	0	0	0	0	1	1	0	48	0
1449	1	19	1	1	100	100	80	100	100	100	30	21	0	0	100	50	100	50	0	0	100	0	100	20	0	0	0	0	0	0	1	0	0	0	0	0	0	1	100	0
1450	2	17	1	2	77	86	77	45	45	78	65	34	13	39	84	53	81	82	59	64	86	41	100	66	0	1	0	0	0	0	0	0	1	1	0	0	0	0	84	0
1451	1	15	1	1	59	100	61	83	81	79	48	57	59	82	65	51	100	100	59	91	93	100	81	63	0	1	0	0	0	0	0	0	1	0	0	0	0	0	82	0
1452	2	19	1	2	0	100	100	60	72	100	36	11	0	52	100	38	76	91	41	30	78	0	100	54	0	1	1	0	1	0	1	0	0	1	0	1	0	0	100	0
1454	1	19	1	2	98	89	100	21	87	100	0	0	0	20	50	0	80	80	0	0	90	20	79	40	0	1	0	0	0	1	0	0	0	1	0	0	1	0	85	0
1455	2	18	1	2	74	96	95	85	82	100	2	2	0	22	100	0	69	60	50	12	77	57	95	8	0	1	0	1	1	1	0	0	0	1	0	1	1	0	100	0
1457	2	19	1	2	80	37	67	82	33	90	59	44	0	7	87	16	92	81	41	37	96	12	100	91	0	1	1	0	0	1	0	0	0	1	0	0	1	0	96	0
1458	1	17	1	1	61	100	81	81	100	30	18	16	12	9	8	11	18	23	23	50	59	12	22	17	0	1	0	0	0	0	0	0	1	0	0	0	0	0	26	0
1459	2	18	1	1	70	100	100	40	72	80	20	0	20	57	80	80	77	50	50	52	60	29	84	30	0	1	0	0	0	0	0	0	1	1	0	1	0	0	72	0
1464	2	18	1	1	80	100	61	20	80	61	21	10	10	10	100	61	64	60	60	5	81	8	100	100	0	1	0	0	0	0	0	0	1	0	1	1	0	0	100	0
1466	1	19	1	1	80	100	70	61	100	60	21	19	80	90	50	80	62	63	66	80	80	80	50	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	80	0
1471	2	18	1	2	70	85	60	40	60	60	40	40	20	20	50	50	50	50	50	50	50	45	50	50	0	1	0	0	0	0	0	0	1	1	0	1	0	0	60	0
1472	1	18	1	1	57	79	59	48	17	75	37	55	20	30	76	18	58	56	36	42	48	39	53	43	0	1	0	0	1	0	0	0	0	0	1	1	0	0	84	0
1474	1	18	1	2	80	66	89	61	57	100	55	61	0	0	58	63	68	71	38	56	81	22	70	64	0	1	1	0	1	0	0	0	1	1	1	1	0	0	60	0
1478	1	18	1	1	43	82	93	28	42	81	6	13	22	20	23	19	20	23	26	22	27	24	21	24	0	1	0	0	1	0	0	0	0	1	0	1	0	0	64	0
1480	1	18	1	1	100	58	64	55	49	59	20	17	24	13	100	46	43	46	48	51	47	50	42	38	0	1	0	0	1	0	0	0	1	0	0	1	0	0	44	0
1481	2	17	1	1	80	85	70	50	100	94	57	42	6	0	77	51	68	52	54	52	75	16	81	64	0	1	1	0	1	0	0	0	1	1	0	1	0	0	84	0
1482	1	18	1	2	100	28	100	99	26	100	12	100	22	0	100	68	100	100	61	73	100	100	100	100	1	1	0	0	0	0	0	1	1	0	0	0	0	0	92	0
1483	1	18	1	2	0	80	70	9	100	80	0	0	0	0	81	62	50	50	50	50	81	86	51	50	0	1	0	0	0	0	0	0	1	0	0	0	0	0	39	0
1485	2	18	1	1	20	100	21	50	83	87	67	86	0	0	0	0	4	46	0	0	87	0	28	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	87	0
1486	1	19	1	2	65	100	47	48	26	75	15	32	30	32	47	49	27	47	40	39	73	62	39	30	0	1	1	0	1	0	0	0	1	1	0	1	0	0	49	0
1487	1	18	1	1	45	79	63	35	42	69	49	74	38	88	56	50	60	50	76	69	93	88	0	58	0	0	0	1	0	0	0	0	0	1	0	0	0	0	26	0
1497	1	18	1	1	81	24	79	9	89	63	15	5	27	8	33	49	56	50	42	44	39	41	20	13	0	1	1	0	1	0	0	0	0	0	0	1	0	0	61	0
1498	1	18	1	1	74	100	19	21	82	66	38	0	0	6	0	0	60	65	0	0	68	14	60	41	0	1	1	1	0	0	0	0	0	1	0	0	0	0	46	0
1499	1	18	1	2	89	100	80	60	80	100	61	61	11	0	69	61	80	59	41	41	93	38	81	80	0	1	0	0	0	0	1	0	1	0	0	0	0	0	100	0
1501	1	18	1	1	100	100	80	59	100	100	0	41	8	4	60	80	51	50	50	49	50	50	50	42	0	1	0	0	0	0	0	0	1	0	0	0	0	0	93	0
1503	1	17	1	2	52	22	34	24	38	25	26	31	26	17	62	15	31	30	13	17	15	19	25	36	0	0	0	0	0	1	0	0	0	0	0	0	1	0	43	0
1504	2	18	1	1	100	100	100	100	97	100	0	0	0	0	100	0	100	100	0	61	100	0	100	36	0	1	0	0	0	0	0	0	1	0	0	0	0	0	80	0
1505	1	18	1	2	100	100	100	7	100	100	47	61	0	0	100	0	100	100	0	32	100	100	100	100	1	1	0	1	0	0	0	0	0	1	0	0	0	0	100	0
1507	1	18	1	1	0	100	100	17	54	100	0	0	0	15	36	27	61	62	63	62	46	17	71	60	0	1	1	0	1	0	0	0	0	1	0	0	0	0	99	0
1508	1	18	1	1	82	96	100	38	100	15	10	59	7	4	47	0	42	25	0	56	48	57	24	35	0	0	0	0	1	0	0	0	0	0	0	1	0	0	45	0
1509	2	19	1	1	0	100	100	39	83	100	21	7	0	0	10	0	100	63	0	0	13	43	100	36	0	1	0	0	0	0	0	0	0	1	0	0	0	0	7	0
1510	1	18	1	1	80	100	61	76	71	71	52	45	29	20	20	28	21	22	22	26	74	81	78	40	0	1	0	0	0	0	0	0	1	0	0	0	0	0	86	0
1511	1	19	1	1	93	38	53	31	87	66	5	46	43	21	60	44	61	63	77	63	75	34	71	36	1	1	1	0	0	0	0	0	0	1	0	0	0	0	81	0
1512	1	17	1	1	30	50	54	58	76	60	64	55	15	40	46	75	48	46	47	49	50	61	57	51	0	0	1	0	0	0	0	0	0	1	0	0	0	0	46	0
